digits,Default,Karatsuba,Java
2.0,2353.93,2188.01,2697.03
4.0,3484.99,2255.07,2894.98
8.0,2656.0,2872.98,2237.99
16.0,4690.93,2509.99,2805.86
32.0,4498.92,33100.99,4521.96
64.0,3835.09,90336.04,6904.01
128.0,12229.99,207172.07,10053.0
256.0,120910.9,2075086.97,17823.05
512.0,112351.02,3762831.93,2556542.15
1024.0,99342.12,6956119.06,56356.06
2048.0,243583.01,1.864134199E7,290240.07
4096.0,1121558.98,5.680585189E7,605425.94
8192.0,4806725.97,5.554902395E7,747896.0
16384.0,1.706783604E7,8.822475096E7,1621592.01
32768.0,6.667745106E7,2.0105227805E8,5026508.96
65536.0,2.627917591E8,5.3073587096E8,9248890.04
131072.0,1.03130735589E9,1.330484345E9,2.929381294E7
262144.0,4.08715413393E9,2.99511565096E9,7.929716008E7
